ITEM,TITLE,seriesid,DATA_TYPE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SA0E,Energy,CUSR0000SA0E,SEASONAL FACTOR,2014,95.69,96.845,100.233,101.142,102.716,104.062,103.684,102.138,102.263,99.023,96.868,95.996
SA0E,Energy,CUSR0000SA0E,SEASONAL FACTOR,2015,96.565,97.287,99.313,100.403,102.491,103.946,103.546,102.096,102.188,99.228,97.377,96.363
SA0E,Energy,CUSR0000SA0E,SEASONAL FACTOR,2016,96.803,97.536,98.864,100.133,102.268,103.609,103.078,101.965,102.128,99.47,97.894,96.525
SA0E,Energy,CUSR0000SA0E,SEASONAL FACTOR,2017,96.875,97.551,98.547,100.232,102.284,103.218,102.637,101.757,102.166,99.768,98.24,96.516
SA0E,Energy,CUSR0000SA0E,SEASONAL FACTOR,2018,96.838,97.517,98.495,100.524,102.644,103.047,102.177,101.611,102.301,100.064,98.456,96.413
SA0E,Energy,CUSR0000SA0E,UNADJUSTED INDEX,2014,239.551,242.041,250.543,252.717,255.982,259.858,257.907,250.951,247.077,234.745,221.844,209.785
SA0E,Energy,CUSR0000SA0E,UNADJUSTED INDEX,2015,192.619,196.597,204.731,203.715,214.33,220.861,219.852,213.248,201.641,194.501,189.267,183.378
SA0E,Energy,CUSR0000SA0E,UNADJUSTED INDEX,2016,180.171,172.061,179.017,185.652,192.673,200.035,195.94,193.524,195.852,194.786,191.402,193.306
SA0E,Energy,CUSR0000SA0E,UNADJUSTED INDEX,2017,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.29,209.383,206.598
SA0E,Energy,CUSR0000SA0E,UNADJUSTED INDEX,2018,210.663,213.519,212.554,218.83,226.81,229.137,227.107,226.939,226.165,225.757,215.91,205.905
SA0L1,All items less food,CUSR0000SA0L1,SEASONALLY ADJUSTED INDEX,2014,234.808,234.964,235.357,235.742,236.079,236.403,236.619,236.488,236.4,236.284,235.684,234.705
SA0L1,All items less food,CUSR0000SA0L1,SEASONALLY ADJUSTED INDEX,2015,232.935,233.486,234.438,234.628,235.534,236.243,236.642,236.535,235.807,236.079,236.389,236.213
SA0L1,All items less food,CUSR0000SA0L1,SEASONALLY ADJUSTED INDEX,2016,236.215,235.74,236.481,237.356,238.139,238.98,238.972,239.492,240.01,240.742,241.151,242.013
SA0L1,All items less food,CUSR0000SA0L1,SEASONALLY ADJUSTED INDEX,2017,243.132,243.227,242.889,243.185,242.998,243.282,243.458,244.485,245.732,245.883,246.74,247.329
SA0L1,All items less food,CUSR0000SA0L1,SEASONALLY ADJUSTED INDEX,2018,248.384,248.923,249.024,249.463,250.232,250.749,251.225,251.522,251.651,252.567,252.453,252.276
SA0L1,All items less food,CUSR0000SA0L1,SEASONAL FACTOR,2014,99.299,99.609,100.134,100.29,100.485,100.566,100.382,100.19,100.261,99.981,99.604,99.307
SA0L1,All items less food,CUSR0000SA0L1,SEASONAL FACTOR,2015,99.475,99.733,100.061,100.212,100.414,100.488,100.306,100.141,100.204,100.008,99.68,99.384
SA0L1,All items less food,CUSR0000SA0L1,SEASONAL FACTOR,2016,99.527,99.811,100.051,100.203,100.378,100.431,100.241,100.119,100.169,99.999,99.69,99.38
SA0L1,All items less food,CUSR0000SA0L1,SEASONAL FACTOR,2017,99.532,99.821,100.03,100.215,100.374,100.385,100.197,100.104,100.175,100.017,99.704,99.376
SA0L1,All items less food,CUSR0000SA0L1,SEASONAL FACTOR,2018,99.508,99.818,100.031,100.262,100.44,100.409,100.195,100.121,100.185,100.027,99.685,99.338
SA0L1,All items less food,CUSR0000SA0L1,UNADJUSTED INDEX,2014,233.161,234.046,235.672,236.425,237.225,237.741,237.522,236.938,237.017,236.24,234.751,233.079
SA0L1,All items less food,CUSR0000SA0L1,UNADJUSTED INDEX,2015,231.711,232.863,234.58,235.125,236.51,237.397,237.365,236.868,236.287,236.097,235.633,234.758
SA0L1,All items less food,CUSR0000SA0L1,UNADJUSTED INDEX,2016,235.097,235.295,236.602,237.837,239.04,240.009,239.548,239.777,240.415,240.739,240.403,240.513
SA0L1,All items less food,CUSR0000SA0L1,UNADJUSTED INDEX,2017,241.994,242.791,242.962,243.708,243.906,244.218,243.937,244.74,246.163,245.926,246.009,245.785
SA0L1,All items less food,CUSR0000SA0L1,UNADJUSTED INDEX,2018,247.161,248.469,249.102,250.117,251.333,251.775,251.716,251.827,252.116,252.636,251.657,250.605
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONALLY ADJUSTED INDEX,2014,221.97,221.916,222.112,222.38,222.499,222.774,222.736,222.246,221.809,221.338,220.094,218.352
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONALLY ADJUSTED INDEX,2015,215.338,215.815,216.859,216.766,217.872,218.56,218.646,218.211,216.713,216.798,216.924,216.35
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONALLY ADJUSTED INDEX,2016,215.899,214.793,215.612,216.538,217.227,218.008,217.658,218.037,218.343,218.981,219.191,220.082
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONALLY ADJUSTED INDEX,2017,221.391,221.151,220.43,220.492,219.883,219.921,219.945,220.909,222.368,222.13,223.109,223.547
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONALLY ADJUSTED INDEX,2018,224.66,225.163,224.839,225.037,225.689,226.217,226.504,226.563,226.483,227.517,226.952,226.334
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONAL FACTOR,2014,98.917,99.394,100.181,100.466,100.761,100.865,100.559,100.264,100.407,99.957,99.41,98.973
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONAL FACTOR,2015,99.182,99.582,100.072,100.352,100.665,100.757,100.45,100.19,100.318,99.994,99.518,99.071
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONAL FACTOR,2016,99.268,99.709,100.063,100.342,100.607,100.657,100.349,100.151,100.261,99.979,99.537,99.067
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONAL FACTOR,2017,99.271,99.723,100.035,100.367,100.606,100.595,100.291,100.128,100.274,100.008,99.553,99.038
SA0L12,All items less food and shelter,CUSR0000SA0L12,SEASONAL FACTOR,2018,99.248,99.726,100.039,100.433,100.687,100.615,100.277,100.144,100.284,100.026,99.537,98.996
SA0L12,All items less food and shelter,CUSR0000SA0L12,UNADJUSTED INDEX,2014,219.567,220.571,222.515,223.416,224.193,224.7,223.98,222.833,222.712,221.243,218.795,216.11
SA0L12,All items less food and shelter,CUSR0000SA0L12,UNADJUSTED INDEX,2015,213.576,214.913,217.015,217.53,219.321,220.214,219.631,218.626,217.403,216.785,215.878,214.341
SA0L12,All items less food and shelter,CUSR0000SA0L12,UNADJUSTED INDEX,2016,214.319,214.168,215.747,217.278,218.546,219.441,218.418,218.366,218.913,218.936,218.177,218.028
SA0L12,All items less food and shelter,CUSR0000SA0L12,UNADJUSTED INDEX,2017,219.777,220.539,220.508,221.301,221.215,221.23,220.586,221.191,222.978,222.148,222.111,221.397
SA0L12,All items less food and shelter,CUSR0000SA0L12,UNADJUSTED INDEX,2018,222.971,224.545,224.927,226.011,227.24,227.608,227.132,226.89,227.127,227.577,225.902,224.062
SA0L12E,"All items less food, shelter, and energy",CUSR0000SA0L12E,SEASONALLY ADJUSTED INDEX,2014,218.974,218.986,219.215,219.553,219.818,220.053,220.189,220.171,220.412,220.697,220.71,220.582
SA0L12E,"All items less food, shelter, and energy",CUSR0000SA0L12E,SEASONALLY ADJUSTED INDEX,2015,220.533,220.617,221.108,221.602,221.765,221.962,222.094,222.217,222.58,222.926,223.386,223.457
SA0L12E,"All items less food, shelter, and energy",CUSR0000SA0L12E,SEASONALLY ADJUSTED INDEX,2016,223.707,224.135,224.272,224.597,224.88,224.972,225.09,225.595,225.604,225.635,225.941,226.15
